source;target;onset.censored;terminus.censored;duration;edge.id;onset;terminus
27;56;FALSE;FALSE;1;261;1640;1641
27;56;FALSE;FALSE;1;262;1640;1641
27;53;FALSE;FALSE;1;263;1640;1641
27;56;FALSE;FALSE;1;264;1640;1641
53;27;FALSE;FALSE;1;265;1640;1641
27;87;FALSE;FALSE;1;266;1640;1641
27;53;FALSE;FALSE;1;267;1640;1641
27;56;FALSE;FALSE;1;268;1640;1641
27;56;FALSE;FALSE;1;269;1640;1641
27;56;FALSE;FALSE;1;270;1640;1641
27;56;FALSE;FALSE;1;271;1640;1641
8;27;FALSE;FALSE;1;272;1640;1641
27;86;FALSE;FALSE;1;273;1640;1641
27;87;FALSE;FALSE;1;274;1640;1641
27;86;FALSE;FALSE;1;275;1640;1641
72;27;FALSE;FALSE;1;276;1640;1641
53;27;FALSE;FALSE;1;277;1640;1641
27;56;FALSE;FALSE;1;278;1640;1641
27;56;FALSE;FALSE;1;279;1640;1641
27;28;FALSE;FALSE;1;280;1640;1641
53;27;FALSE;FALSE;1;281;1640;1641
27;56;FALSE;FALSE;1;282;1640;1641
27;56;FALSE;FALSE;1;283;1640;1641
27;53;FALSE;FALSE;1;284;1640;1641
27;41;FALSE;FALSE;1;285;1640;1641
27;53;FALSE;FALSE;1;286;1640;1641
27;21;FALSE;FALSE;1;287;1640;1641
27;56;FALSE;FALSE;1;288;1640;1641
27;56;FALSE;FALSE;1;289;1640;1641
27;56;FALSE;FALSE;1;290;1640;1641
27;29;FALSE;FALSE;1;291;1640;1641
27;56;FALSE;FALSE;1;292;1640;1641
27;56;FALSE;FALSE;1;293;1640;1641
72;27;FALSE;FALSE;1;294;1640;1641
27;70;FALSE;FALSE;1;295;1641;1642
53;27;FALSE;FALSE;1;296;1641;1642
27;53;FALSE;FALSE;1;297;1641;1642
27;56;FALSE;FALSE;1;298;1641;1642
27;51;FALSE;FALSE;1;300;1641;1642
27;56;FALSE;FALSE;1;301;1641;1642
51;27;FALSE;FALSE;1;302;1641;1642
27;51;FALSE;FALSE;1;305;1641;1642
27;56;FALSE;FALSE;1;306;1641;1642
27;56;FALSE;FALSE;1;307;1641;1642
51;27;FALSE;FALSE;1;308;1641;1642
27;56;FALSE;FALSE;1;310;1641;1642
27;53;FALSE;FALSE;1;311;1641;1642
27;72;FALSE;FALSE;1;312;1641;1642
72;27;FALSE;FALSE;1;313;1641;1642
27;51;FALSE;FALSE;1;315;1641;1642
27;56;FALSE;FALSE;1;316;1641;1642
27;72;FALSE;FALSE;1;317;1641;1642
27;72;FALSE;FALSE;1;318;1641;1642
27;72;FALSE;FALSE;1;319;1641;1642
27;72;FALSE;FALSE;1;320;1641;1642
40;27;FALSE;FALSE;1;321;1641;1642
51;27;FALSE;FALSE;1;322;1641;1642
27;56;FALSE;FALSE;1;324;1641;1642
27;72;FALSE;FALSE;1;325;1641;1642
27;56;FALSE;FALSE;1;326;1641;1642
27;56;FALSE;FALSE;1;327;1641;1642
27;72;FALSE;FALSE;1;328;1641;1642
27;72;FALSE;FALSE;1;329;1641;1642
27;56;FALSE;FALSE;1;330;1641;1642
27;72;FALSE;FALSE;1;331;1641;1642
53;27;FALSE;FALSE;1;332;1641;1642
27;56;FALSE;FALSE;1;333;1641;1642
27;54;FALSE;FALSE;1;334;1641;1642
27;53;FALSE;FALSE;1;335;1641;1642
27;56;FALSE;FALSE;1;336;1641;1642
27;72;FALSE;FALSE;1;337;1641;1642
27;72;FALSE;FALSE;1;338;1641;1642
